#,description,eif,attached-schedule-ref-#,value,income-type,income-amount,location,underlying-assets,notes
57,TRUMP BOOKS LLC THE MIDAS TOUCH,N/A,243,"None (or less than $1,001)",royalties,"$5,001 - $15,000","New York, NY",book deal with Plata Publishing LLC ,Value reported reflects bank account holding only. Holder of book contract; See attached schedule. (Published 2011)
59,TRUMP CAROUSEL LLC,N/A,250,"$15,001 - $50,000",admissions,"$671,728","New York, NY",operating agreement with NEW YORK CITY DEPARTMENT OF PARKS & RECREATION,Value reported reflects bank account holding only. Carousel operator; See attached schedule
61,TRUMP CPS LLC,N/A,269,"$25,000,001 - $50,000,000",rent,"$1,000,001 - $5,000,000","New York, NY",commercial and residential real estate,See attached schedule
,,,,,condo sales,"$3,170,000",,,
64,TRUMP NATIONAL DORAL,N/A,279,"Over $50,000,000",golf resort related revenues,"$115,865,590","Miami, FL",golf courses & resort,See attached schedule
65,TRUMP FERRY POINT LLC,N/A,283,"$5,000,001 - $25,000,000",golf related revenue,"$7,300,157","New York, NY",operating agreement with NEW YORK CITY DEPARTMENT OF PARKS & RECREATION - golf course,"See attached schedule (Opening Day: April 1, 2015)"
66,TRUMP GOLF ACQUISITIONS LLC,N/A,287,"$1,001 - $15,000",golf related revenue,"$17,539","New York, NY",none,Value reported reflects bank account holding only. Entity set up to sign letters of intent for golf related deals. See attached schedule
67,TRUMP HOME MARKS LLC,N/A,291,"None (or less than $1,001)",royalties,"$15,001 - $50,000","New York, NY","license deal with DOWNLITE INTERNATIONAL INC, GOURMET HOME PRODUCTS LLC, NORTHPOINT TRADING LLC, SIGN OF TIMES INC, TPS SAS",Value reported reflects bank account holding only. License holder; See attached schedule
68,TRUMP ICE LLC,N/A,294,"$1,001 - $15,000",sales,"$396,161","New York, NY",wholesale company,Value reported reflects bank account holding only. Water wholesaler; See attached schedule
69,TRUMP INTERNATIONAL GOLF LINKS - SCOTLAND,N/A,297,"Over $50,000,000",golf related revenue,"$3,803,033","Aberdeen, Scotland",golf course,See attached schedule
70,TRUMP INTERNATIONAL GOLF CLUB - FLORIDA,N/A,299,"$25,000,001 - $50,000,000",golf related revenue,"$18,411,472","West Palm Beach, FL",golf club,See attached schedule
71,TRUMP INTERNATIONAL HOTEL HAWAII LLC,N/A,300,"$1,001 - $15,000",royalties,"$100,001 - $1,000,000","Waikiki, HI",management and license agreements with IRONGATE AZREP BW LLC - value not readily ascertainable.,"Value reported reflects bank account holding only. License holder, See attached schedule"
,,,,,management fees,"$2,538,973",,,
72,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC,N/A,301,"Over $50,000,000",management fees,"$2,888,093","New York, NY",management company,See attached schedule
73,TRUMP LAS VEGAS DEVELOPMENT LLC ,N/A,308,"$1,000,001 - $5,000,000",development fees,"$8,154,142","Las Vegas, NV",development deal with TRUMP RUFFIN TOWER I LLC Entity set up to receive development fees,See attached schedule
74,TRUMP LAS VEGAS MEMBER LLC,N/A,310,"None (or less than $1,001)",sponsor fee,"$2,631,300","Las Vegas, NV",,Value reported reflects bank account only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity
76,TRUMP MARKS ASIA LLC,N/A,316,"$500,001 - $1,000,000",,None (or less than $201),"Sterling, VA",residential real estate,See attached schedule
78,TRUMP MARKS ISTANBUL II LLC,N/A,342,"$15,001 - $50,000",royalties,"$1,000,001 - $5,000,000","New York, NY",license deal with ORTADOGU OTOMOTIV TICARET AS - value not readily ascertainable.,"Value reported reflects bank account holding only. License holder, See attached schedule"
79,TRUMP MARKS LLC,N/A,347,"$15,001 - $50,000",royalties,"$50,001 - $100,000","New York, NY",license deal with ELK LIGHTING INC,"Value reported reflects bank account holding only. License holder, See attached schedule"
80,TRUMP MARKS MATTRESS LLC,N/A,350,"None (or less than $1,001)",royalties,"$100,001 - $1,000,000","New York, NY",,"Value reported reflects bank account holding only. License holder, See attached schedule"
81,TRUMP MARKS MENSWEAR LLC,N/A,352,"None (or less than $1,001)",royalties,"$100,001 - $1,000,000","New York, NY","license deal with PVH CORP, PEERLESS CLOTHING INTERNATIONAL, PARLUX LTD, OXFORD OPTHALMIC, RANDA ACCESSORIES","Value reported reflects bank account holding only. License holder, See attached schedule"
82,TRUMP MARKS NEW ROCHELLE LLC,N/A,359,"None (or less than $1,001)",royalties,"$5,001 - $15,000","New York, NY",license deal with NEW ROC PARCEL 1A LLC ,"Value reported reflects bank account holding only. License holder, See attached schedule"
83,TRUMP MARKS PANAMA LLC,N/A,363,"None (or less than $1,001)",royalties,"$100,001 - $1,000,000","New York, NY",license deal with K GROUP DEVELOPERS INC,"Value reported reflects bank account holding only. License holder, See attached schedule"
87,TRUMP MARKS WAIKIKI LLC,N/A,391,"None (or less than $1,001)",royalties,"$100,001 - $1,000,000","New York, NY",license deal with IRONGATE AZREP BW LLC,"Value reported reflects bank account holding only. License holder, See attached schedule"
90,TRUMP MIAMI RESORT MANAGEMENT LLC,N/A,396,"$1,000,001 - $5,000,000",,None (or less than $201),"Miami, FL",,Value reported reflects bank account holding only. Management company - value not readily ascertainable. See attached schedule
91,TRUMP MODEL MANAGEMENT LLC,N/A,398,"$250,001 - $500,000",commissions,"$1,870,632","New York, NY",,Value reported reflects bank account holding only. Modeling agency - value not readily ascertainable. See attached schedule
92,TRUMP NATIONAL GOLF CLUB - COLTS NECK,N/A,399,"Over $50,000,000",golf related revenue,"$7,708,047","Colts Neck, NJ",golf club,See attached schedule
93,TRUMP NATIONAL GOLF CLUB - WESTCHESTER,N/A,401,"Over $50,000,000",golf related revenue,"$9,771,428","Briarcliff Manor, NY",golf club,See attached schedule
94,TRUMP NATIONAL GOLF CLUB - WASHINGTON DC,N/A,403,"Over $50,000,000",golf related revenue,"$17,508,270","Potomac Falls, VA",golf club,See attached schedule
95,TRUMP OLD POST OFFICE LLC,N/A,408,"Over $50,000,000",hotel related revenue,"$19,666,129","Washington, DC",hotel,See attached schedule
97,"Miss Universe L.P., LLLP",N/A,413,"$50,001 - $100,000",beauty pageant related revenue,"$10,973,722",,none,Value reported reflects bank account holding only. See attached schedule
98,TRUMP PALACE/PARC LLC,N/A,414,"$1,000,001 - $5,000,000",rent,"$100,001 - $1,000,000","New York, NY",commercial real estate,See attached schedule
99,TRUMP PARK AVENUE LLC,N/A,420,"Over $50,000,000",rent,"Over $5,000,000","New York, NY",residential & commercial real estate,See attached schedule
,,,,,condo sales,"$29,943,500",,,
100,TRUMP PLAZA LLC,N/A,424,"$25,000,001 - $50,000,000",rent,"$1,000,001 - $5,000,000","New York, NY",residential & commercial real estate,See attached schedule
101,TRUMP PRODUCTIONS LLC,N/A,426,"$1,000,001 - $5,000,000",production revenue,"$1,103,161","New York, NY",production company,See attached schedule
103,Trump Restaurants LLC,N/A,430,"$1,000,001 - $5,000,000",food & beverage related sales,"$4,830,768","New York, NY",restaurant,See attached schedule
104,TRUMP RUFFIN TOWER I LLC,N/A,434,"Over $50,000,000",condo sales,"$10,683,900","Las Vegas, NV",commercial real estate,See attached schedule
,,,,,hotel related revenue,"$30,835,137",,,
106,TRUMP SCOTSBOROUGH SQUARE LLC,N/A,438,"$500,001 - $1,000,000",rent,"$5,001 - $15,000","Scotsborough Square, VA",residential real estate,See attached schedule
108,TRUMP TOWER COMMERCIAL LLC,N/A,444,"Over $50,000,000",rent,"Over $5,000,000","New York, NY",commercial real estate,See attached schedule
109,TRUMP TOWER MANAGING MEMBER INC.,N/A,445,"$1,001 - $15,000",,None (or less than $201),"New York, NY",,Value reported reflects bank account only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity
110,TRUMP VINEYARD ESTATES LLC,N/A,447,"$5,000,001 - $25,000,000",rent,"$100,001 - $1,000,000","Charlottesville, VA",vineyard,See attached schedule
111,TRUMP VINEYARD ESTATES LOT 3 OWNER LLC,N/A,448,"$500,001 - $1,000,000",rent,"$100,001 - $1,000,000","Charlottesville, VA",vineyard,See attached schedule
112,TRUMP VIRGINIA ACQUISITIONS LLC,N/A,450,"$5,000,001 - $25,000,000",hotel related revenue,"$1,015,752","Charlottesville, VA",commercial real estate,See attached schedule
113,TRUMP VIRGINIA LOT 5 LLC,N/A,452,"$500,001 - $1,000 ,000",rent,"$50,001 - $100,000","Charlottesville, VA",vineyard,See attached schedule
116,TRUMP NATIONAL GOLF CLUB - LOS ANGELES,N/A,469,"Over $50,000,000",golf related revenue,"$14,982,417","Los Angeles, CA",golf course and unsold lots,See attached schedule
,,,,,land sales,"$12,035,000",,,
119,Wollman Rink Operations LLC,N/A,476,"$1,000,001 - $5,000,000",ice skating rink operation,"$12,661,523","New York, NY",operating agreement with NEW YORK CITY DEPARTMENT OF PARKS & RECREATION - ice skating rinks,See attached schedule
120,"HWA 555 Owners, LLC",N/A,478,"Over $50,000,000",rent,"Over $5,000,000","San Francisco, CA",commercial real estate,See attached schedule
121,"1290 AVENUE OF THE AMERICAS, A TENANCY-IN-COMMON",N/A,479,"Over $50,000,000",rent,"Over $5,000,000","New York, NY",commercial real estate,See attached schedule
122,"4% limited partnership interest in Starrett City Associates, L.P. (via the entities disclosed on Exhibit A and direct ownership by The Donald J. Trump Revocable Trust)",N/A,"018, 141, 154, 446","$5,000,001 - $25,000,000",rent,"Over $5,000,000","Brooklyn, NY",residential real estate,
123,4% limited partnership interest in Spring Creek Plaza LLC (via the entities disclosed on Exhibit A and direct ownership by The Donald J . Trump Revocable Trust),N/A,"018, 141, 154, 446","$500,001 - $1,000,000",rent,"$100,001 - $1,000,000","Brooklyn, NY",commercial real estate,
124,Trump Tower Triplex,N/A,,"Over $50,000,000",,None (or less than $201),"New York, NY",residential real estate,
125,N/K/A DT VENTURE I LLC,N/A,533,"$5,000,001 - $25,000,000",,None (or less than $201),"Palm Beach, FL",residential real estate,See attached schedule
126,N/K/A DTW VENTURE LLC,N/A,93,"$1,000,001 - $5,000,000",rent,"$50,001 - $100,000","Palm Beach, FL",residential real estate,See attached schedule
127,DT Marks Worli LLC,N/A,89,,royalties,"$100,001 - $1,000,000","New York, NY",license deal,"Licensee(s): JAWALA REAL ESTATE PRIVATE LTD, LODHA DEVELOPERS PRIVATE LTD. See attached schedule"
130,THC VANCOUVER MANAGEMENT CORP,N/A,190,,management fees,"$21,576","Vancouver, Canada",management company,See attached schedule
131,THE TRUMP ENTREPRENEUR INITIATIVE LLC,N/A,201,,residual income,"$38,542","New York, NY",seminar program,See attached schedule
132,TNGC JUPITER MANAGEMENT LLC,N/A,227,,management fees,"$468,346","Jupiter, FL",management company,See attached schedule
133,TRUMP CHICAGO COMMERCIAL MANAGER LLC,N/A,254,,management fees,"$1,292,392","New York, NY",management company,See attached schedule
134,TRUMP CHICAGO HOTEL MANAGER LLC,N/A,256,"$15,001 - $50,000",management fees,"$2,198,295","New York, NY",management company,Value reported reflects bank account holding only. See attached schedule
135,TRUMP CHICAGO RESIDENTIAL MANAGER LLC,N/A,260,,management fees,"$677,122",New York. NY,management company,See attached schedule
136,TRUMP MARKS FINE FOODS LLC,N/A,333,"$1,001 - $15,000",royalties,"$5,001 - $15,000","New York, NY",license deal with TWO RIVERS COFFEE,"Value reported reflects bank account holding only. License holder, See attached schedule"
137,TRUMP MARKS PHILIPPINES LLC,N/A,367,"$1,001 - $15,000",royalties,"$1,000,001 - $5,000,000","New York, NY",license deal with CENTURY CITY DEVELOPMENT CORP,"Value reported reflects bank account holding only. License holder, See attached schedule"
139,TRUMP MARKS STAMFORD LLC,N/A,380,,royalties,"$100,001 - $1,000,000","New York, NY",license deal,Licensee(s) : 33 BROAD STREET ASSOCIATES II See attached schedule. Value not readily ascertainable
140,TRUMP MARKS SUNNY ISLES I LLC,N/A,381,,royalties,"$100,001 - $1,000,000","New York, NY",license deal,Licensee(s) : MICHAEL DEZER & NAOMI DEZERTOV  See attached schedule Value not readily ascertainable
141,TRUMP PANAMA HOTEL MANAGEMENT LLC,N/A,417,"$15,001 - $50,000",management fees,"$810,795","New York, NY",management agreement,Value reported reflects bank account holding only. See attached schedule
142,TRUMP TORONTO HOTEL MANAGEMENT CORP,N/A,442,"$1,001 - $15,000",management fees,"$559,904","New York, NY",management deal with TALON INTERNATIONAL INC,"Value reported reflects bank account holding only. Management company, See attached schedule."
143,TW VENTURE I LLC,N/A,462,Value not readily ascertainable,operating income,"$185,601","Palm Beach, FL",,transportation services See attached schedule
144,Trump Management Inc.,N/A,480,"$15,001 - $50,000",management fees,"$30,000","Manhasset, NY",management company,Value reported reflects bank account holding only. See attached schedule.
145,RITZ CARLTON HOTEL AT 112 CENTRAL PARK SOUTH N/K/A DT VENTURE II LLC,N/A,535,"$15,001 - $50,000",management fees,"$268,125","New York, NY",,Value reported reflects bank account holding only.
146,Think Like A Champion,N/A,,"$15,001 - $50,000",royalties,,"New York, NY",book,"Publisher: Vanguard Press, a member of Perseus Books LLC (Published 2009)"
147,The Art Of The Deal,N/A,,"$100,001 - $1,000,000",royalties,,"New York, NY",book,Publisher: Random House (Published 1987)
148,Time To Get Tough,N/A,,"$100,001 -$1,000,000",royalties,,"New York, NY",book,Publisher: Regnery Publishing (Published 2011)
149,Think Like a Billionaire,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Random House (Published 2004)
150,The Art of the Comeback,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Random House (Published 1997)
151,Why We Want You To Be Rich,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Plata Publishing LLC (Published 2006)
152,Trump 101: The Way to Success,N/A,,None (or less than $201),,,"New York, NY",book,"Publisher: John Wiley & Sons, Inc.  (Published 2007)"
153,The America We Deserve,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Renaissance Books (Published 2000)
154,Never Give Up,N/A,,None (or less than $201),,,"New York, NY",book,"Publisher: John Wiley & Sons, Inc.  (Published 2008)"
155,The Best Real Estate Advice I Ever Received,N/A,,None (or less than $201),,,"New York, NY",book,"Publisher: Thomas Nelson, Inc. (Published 2005)"
156,The Way To The Top,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Bill Adler Books (Published 2004)
157,How to Get Rich,N/A,,"$5,001 - $15,000",royalties,,"New York, NY",book,Publisher: Random House (Published 2004)
158,Think Big and Kick Ass,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: HarperCollins Publishers (Published 2007)
159,Trump: Surviving At The Top,N/A,,None (or less than $201),,,"New York, NY",book,Publisher: Random House  (Published 1990)
160,SCREEN ACTORS GUILD PENSION,N/A,,"$84,292",pension,,"Burbank, CA",pension,
169,THC MIAMI RESTAURANT HOSPITALITY LLC,N/A,178,"$500,001 - $1,000,000",food & beverage related sales,"$7,390,861","Miami, FL",,Value reported reflects bank account holding only. See attached schedule. Restaurant operations at Trump National Doral
172,40 WALL STREET COMMERCIAL LLC,N/A,4,"$15,001 - $50,000",,None (or less than $201),"New York, NY",,Value reported reflects bank account holding only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Payroll company. 
173,DT DUBAI II GOLF MANAGER LLC,N/A,61,"$15,001 - $50,000",royalties,None (or less than $201),"Dubai, UAE",management deal with FRONTLINE INVESTMENT MANAGEMENT CO LLC (AN AFFILIATE OF DAMAC),Value reported reflects bank account holding only. Management company; See attached schedule.
174,DT TOWER GURGAON LLC,N/A,91,"$1,001 - $15,000",royalties,"$100,001 - $1,000,000","Gurgaon, India",license deal with IREO PRIVATE LTD,Value reported reflects bank account holding only. License holder; See attached schedule.
176,TAG AIR INC.,N/A,161,"$15,001 - $50,000",aircraft related revenue/expense reimbursements,"$7,727,674","New York, NY",,Value reported reflects bank account holding only. Entity's other holdings and assets are reported elsewhere; see attached  schedule. Entity set up to lease 757 from DJT Operations I LLC.
178,THC IMEA DEVELOPMENT LLC,N/A,177,"$15,001 - $50,000",,None (or less than $201),"New York, NY",developer,Value reported reflects bank account holding only.  See attached schedule.
181,DT BALI TECHNICAL SERVICES MANAGER LLC,N/A,497,"$1,001 - $15,000",management fees,,"Bali, Indonesia",management deal with PT BALI NIRWANA RESORT,Value reported reflects bank account holding only. Management company; See attached schedule.
182,DT CONNECT EUROPE LIMITED,N/A,499,"$1,000,001 - $5,000,000",rent,"$100,001 - $1,000,000","Turnberry, Scotland",aircraft,See attached schedule
183,DT ENDEAVOR I LLC,N/A,500,"$5,000,001 - $25,000,000",,None (or less than $201),"Palm Beach, FL",aircraft,See attached schedule
184,DT LIDO TECHNICAL SERVICES MANAGER LLC,N/A,509,"None (or less than $1,001)",management fees,"$190,476","Lido, Indonesia",management deal with PT LIDO NIRWANA PARAHYANGAN,Value reported reflects bank account holding only. Management company; See attached schedule.
187,MOBILE PAYROLL CONSTRUCTION LLC,N/A,523,"$50,001 - $100,000",,None (or less than $201),"Bedminster, NJ",none,Value reported reflects bank account holding only. Payroll company;  See attached schedule.
188,CRIPPLED AMERICA,N/A,,,royalties,"$1 ,000,001 - $5,000,000","New York, NY",book,Publisher: Threshold Editions (Published 2015)
189,DTTM OPERATIONS LLC,N/A,519,"$15,001 - $50,000",,None (or less than $201),"New York, NY",,Value reported reflects bank account holding only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity. 
190,TRUMP LAS VEGAS MANAGING MEMBER LLC,N/A,309,"None (or less than $1,001)",sponsor fee,"$53,700","Las Vegas, NV",,Value reported reflects bank account holding only. Entity's other holdings and assets are reported elsewhere; see attached schedule. Pass-thru entity. 
191,"Trump Las Vegas Sales & Marketing, Inc.",N/A,311,"$1,001 - $15,000",commissions,"$14,078,526","Las Vegas, NV",Additional sales & marketing deal with TRUMP RUFFIN TOWER I LLC,Value reported reflects bank account holding only. Entity set up to receive brokerage commissions; See attached schedule
192,DT TOWER KOLKATA LLC,N/A,517,"None (or less than $1,001)",royalties,"$100,001 - $1,000,000","Kolkata, India","license deal with CONCAST INFRASTRUCTURE PRIVATE LIMITED, TRIBECA CREATORS LLP, REGENT HIRISE PRIVATE LIMITED, RAJ CONSTRUCTION PROJECTS PRIVATE LIMITED, RDB REALTY & INFRASTRUCTURE LIMITED",Value reported reflects bank account holding only. License holder; See attached schedule.
193,DT Marks VANCOUVER LP,N/A,87,"None (or less than $1,001)",royalties,"Over $5,000,000","Vancouver, Canada",license deal with WEST GEORGIA DEVELOPMENT LIMITED PARTNERSHIP AND WEST GEORGIA HOLDINGS INC.,Value reported reflects bank account holding only. License holder; See attached schedule.
194,STORAGE 106 LLC,N/A,542,"$5,000,001 - $25,000,000",rent,"$100,001 - $1,000,000","New York, NY",commercial real estate,See attached schedule
