#,description,eif,value,income-type,income-amount
15,SWISS RE LTD ADR,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
16,U S BANCORP DE NEW,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
17,VNGRD HGH DIV YLD ETF,Y,"None (or less than $1,001)",,"$201 - $1,000"
18,VERIZON COMMS INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$201 - $1,000"
,OPPENHEIMER-BROKERAGE ACCOUNT - HOLDINGS,,,,
1,ALTRIA GROUP INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
2,AMGEN INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
3,APPLE INC,N/A,"None (or less than $1,001)","Dividends,Capital Gain","$100,001 - $1,000,000"
4,AT&T INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
5,BRISTOL MYERS SQUIBB CO,N/A,"None (or less than $1,001)","Dividends,Capital Gain","$100,001 - $1,000,000"
6,GENERAL MLS INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
7,GILEAD SCIENCES INC,N/A,"None (or less than $1,001)",Capital Gain,"$100,001 - $1,000,000"
8,JPMORGAN CHASE & CO COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
9,PHILIP MORRIS INTL INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
10,REGENERON PHARMACEUTICALS,N/A,"None (or less than $1,001)",Capital Gain,"$50,001 - $100,000"
11,UNITED PARCEL SERVICE INC CL B,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
12,VERIZON COMMUNICATIONS INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
13,VISA INC,N/A,"None (or less than $1,001)",Capital Gain,"$100,001 - $1,000,000"
14,WASTE MGMT INC DEL,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
15,WELLS FARGO & CO NEW,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
16,YAHOO INC,N/A,"None (or less than $1,001)",Capital Gain,"$50,001 - $100,000"
17,"ADVANTAGE ADVISORS XANTHUS FUND, LLC",Y,"None (or less than $1,001)",,"$100,001 - $1,000,000"
,"The Fred C. Trump December 16, 1976 Trust- F/B/O Donald J. Trump",,,,
1,JP MORGAN CHASE - SAVINGS ACCOUNT,N/A,"$1,000,001 - $5,000,000",Interest,"$1,001 - $2,500"
,JP MORGAN CLEARING CORP - BROKERAGE ACCOUNT - HOLDINGS,,,,
1,"APPLE, INC",N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
2,CATERPILLER INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
3,MICROSOFT CORP ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
4,PEPSICO INC ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
5,ECO TEK 360 INC (f/k/a GLOBAL FASHION TECHNOLOGIES) ,N/A,"$1,001 - $15,000",,None (or less than $201)
6,HALLIBURTON COMPANY ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
7,PHILLIP S 66 COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000	"
,The Donald J Trump Revocable Trust,,,,
1,CAPITAL ONE BANK - CHECKING AND SAVINGS (account funded 4/12/2017),N/A,"Over $50,000,000",,None (or less than $201)
,DEUTSCHE ASSET & WEALTH MANAGEMENT A/C 1 BROKERAGE ACCT - HOLDINGS,,,,
1,ADVANCE AUTO PTS INC COM ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
2,INVESCO EUROPEAN GROWTH FUND,Y,"None (or less than $1,001)",,"$2,501 - $5,000"
3,ALPHABET INC COM CL A ,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
4,ALPHABET INC COM CL C ,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
5,AMAZON COM INC COM ,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
6,AMERICAN WATER WORKS COM ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
7,AMERIPRISE FINANCIAL INC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
8,AMETEK INC NEW COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
9,AMGEN INC DTD 5/15/2012,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
10,APPLE INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
11,APPLE INC DTD 5/6/2014 3,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
12,BOEING CO COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
13,BROADCOM LIMITED COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
14,BURLINGTN NORTH SANTA FE BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
15,CELGENE CORP COM,N/A,"None (or less than $1,001)",Capital Gain,"$50,001 - $100,000"
16,CISCO SYS COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$201 - $1,000"
17,CITIGROUP INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
18,COCA COLA CO/THE BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
19,COMCAST CORP NEW CL A,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
20,CONAGRA BRANDS INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
21,COSTCO WHSL CORP NEW COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$2,501 - $5,000"
22,CROWN CASTLE INTERNATION,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
23,DISCOVER FINANCIAL SERVI,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
24,ECOLAB INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
25,EOG RES INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
26,EXPRESS SCRIPTS HLDG CO,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
27,EXTRA SPACE STORAGE,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
28,GENERAL ELEC CAP CORP BOND,N/A ,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
29,GENERAL ELEC CO COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
30,GENERAL MOTORS FINL CO BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
31,GILEAD SCIENCES INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$100,001 - $1,000,000"
32,HCA HOLDINGS INC COM,N/A,"None (or less than $1,001)",Capital Gain,"$2,501 - $5,000"
33,HCA INC DTD 8/1/2011 6.5,N/A,"None (or less than $1,001)","Interest, Capital Gain ","$1,001 - $2,500"
34,HOME DEPOT INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
35,INTUIT INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
36,J P MORGAN CHASE & CO CO,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
37,JARDEN CORP,N/A,"None (or less than $1,001)",Capital Gain,"$201 - $1,000"
38,JOHNSON & JOHNSON COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
39,JPMORGAN CHASE BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
40,KRAFT HEINZ CO/THE COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
41,L BRANDS INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
42, MCKESSON HBOC INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
43,MEAD JOHNSON NUTRITION C,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
44,MEDIVATION INC COM,N/A,"None (or less than $1,001)",Capital Gain,"$15,001 - $50,000"
45,MERCK & CO INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
46,MICROSOFT CORP COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
47,MORGAN STANLEY BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
48,NEWELL BRANDS INC COM,N/A,"None (or less than $1,001)",Capital Gain,"$201 - $1,000"
49,NEXTERA ENERGY INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
50,NIKE INC CL B,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
51,NORFOLK SOUTHERN CORP CO,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
52,PARKER HANNIFIN CORP COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
53,PEPSICO INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
54,PEPSICO INC DTD 2/28/201 BOND,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
55,PFIZER INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
56,PHILIP MORRIS INTL INC C,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
57,PROCTER & GAMBLE CO COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
58,PRUDENTIAL FINL INC COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
59,ROPER TECHNOLOGIES INC C,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
60,SALESFORCE COM INC,N/A,"None (or less than $1,001)",Capital Gain,"$5,001 - $15,000"
61,SCHWAB CHARLES COM ,N/A,"None (or less than $1,001)",Capital Gain,"$5,001 - $15,000"
62,SEALED AIR CORP COM NEW ,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$201 - $1,000"
63,SMUCKER J M CO COM NEW,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$1,001 - $2,500"
64,T MOBILE US INC COM,N/A,"None (or less than $1,001)",Capital Gain,"$1,001 - $2,500"
65,THERMO FISHER SCIENTIFIC,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
66,TJX COS INC NEW COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
67,TWENTY FIRST CENTURY FOX,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
68,US T NTS DTD 8/15/2012 1,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
69,V F CORP COM,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
70,VISA INC CL A COM,N/A,"none (or less than $1,001)","Dividends, Capital Gain","$50,001 - $100,000"
71,WELLS FARGO & CO NEW COM ,N/A,"none (or less than $1,001)","Dividends, Capital Gain","$15,001 - $50,000"
,DEUTSCHE ASSET & WEALTH MANAGEMENT A/C 2 BOND ACCOUNT - HOLDINGS,,,,
1,AMERICAN EXPRESS CREDIT ,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
2,ANHEUSER-BUSCH ,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
3,APPLE INC DTD 5/3/2013 0,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
4,AT&T INC DTD 8/18/2011 2,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
5,BANK OF NOVA SCOTIA,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
6,BERKSHIRE HATHAWAY FIN,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
7,BHP BILLITON FIN USA LTD,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
8,CATERPILLAR FIN SERV CRP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
9,CHEVRON CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
10,CITIGROUP INC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
11,CONAGRA INC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
12,CREDIT SUISSE NEW YORK,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
13,DEUTSCHE GOVERNMENT MONEY MARKET,N/A,"None (or less than $1,001)","Dividends, Capital Gain","$5,001 - $15,000"
14,DEUTSCHE MONEY MARKET SERIES,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
15,ECOLAB INC DT 12/8/2011,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
16,EXXON MOBIL CORPORATION,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
17,FHLB DTD 7/25/2016 0 00% ,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
18,FMCC DTD 8/7/2012 2.50%,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
19,FNMA DTD 1/29/1999 0 00% ,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
20,FORD MTR DTD 12/18/2006,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
21,GOLDMAN SACHS GROUP INC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$15,001 - $50,000"
22,IBM CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
23,INTL BK RECON & DEVELOP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
24,JP MORGAN CHASE & CO,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
25,JOHN DEERE CAPITAL CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
26,MCDONALD'S CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
27,MCKESSON CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
28,MORGAN STANLEY,N/A,"None (or less than $1,001)","Interest, Capital Gain","$15,001 - $50,000"
29,NBCUNIVERSAL MEDIA LLC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
30,NEW YORK CITY NY,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
31,ORACLE CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
32,PEPSICO INC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
33,PNC BANK NA,N/A,"None (or less than $1,001)","Interest, Capital Gain","$1,001 - $2,500"
34,ROYAL BANK OF CANADA,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
35,SHELL INTERNATIONAL FIN,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
36,THERMO FISHER SCIENTIFIC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
37,TORONTO DOMINION BANK,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
38,TOTAL CAPITAL INTL SA,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
39,TOYOTA MOTOR CREDIT CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
40,UNITED STATES TREAS NTS,N/A,"None (or less than $1,001)","Interest, Capital Gain","$5,001 - $15,000"
41,VERIZON COMMUNICATIONS,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
42,WAL MART STORES INC,N/A,"None (or less than $1,001)","Interest, Capital Gain","$201 - $1,000"
43,WELLS FARGO & COMPANY,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
44,WESTPAC BANKING CORP,N/A,"None (or less than $1,001)","Interest, Capital Gain","$2,501 - $5,000"
,,,,,
Family Trust 1 *,,,,"Dividends, Capital Gains","$5,001 - $15,000"
1,ISHARES MSCI EAFE INDEX FUND,Y,"$15,001 - $50,000",,
2,DODGE & COX INCOME FD,Y,"$1,001 - $15,000",,
3,ISHARES INC MSCI JAPAN NEW,Y,"$1,001 - $15,000",,
4,DODGE & COX INTL STOCK FD,Y,"$1,001 - $15,000",,
5,AMG MANAGERS PICTET INTERNATIONAL FUND CLASS I,Y,"$1,001 - $15,000",,
6,JOHN HAN II-ABS RET CURR-I,Y,"$1,001 - $15,000",,
7,BLACKROCK HIGH YIELD PT-BLAC ,Y,"$1,001 - $15,000",,
8,CHILTON STRATEGIC EUROPEAN EQUITIES FD,Y,"$1,001 - $15,000",,
9,AQR MANAGED FUTURES STR-R6,Y,"$1,001 - $15,000",,
10,PRIMECAP ODYSSEY STOCK FD,Y,"$15,001 - $50,000",,
11,U.S. BANK CASH ACCOUNT,N/A,"$1,001 - $15,000",,
12,ISHARES RUSSELL MIDCAP INDEX FUND,Y,"$15,001 - $50,000",,
13,SPDR S&P 500 ETF TRUST,Y,"$15,001 - $50,000",,
14,JPM GLBL RES ENH INDEX FD - CL I FUND 3457	,Y,"$15,001 - $50,000",,
15,FMI LARGE CAP FUND-INST,Y,"$1,001 - $15,000",,
16,JPM US LARGE CP CORE PLUS FD - CL I FUND 1002,Y,"$15,001 - $50,000",,
17,NEUBERGER BER MU/C OPP-INS,Y,"$15,001 - $50,000",,
18,MFS EMERGING MKTS DEBT FD-I,Y,"$1,001 - $15,000",,
19,PIMCO UNCONSTRAINED BOND-INS,Y,"$1,001 - $15,000",,
20,ARTISAN INTL VALUE FD-INS,Y,"$1,001 - $15,000",,
21,JPM MID CAP VALUE FD -L FUND 758,Y,"$1,001 - $15,000",,
22,JPM SHRT-INT MUNI BND FD - CL L FUND 3602 1.48%,Y,"$15,001 - $50,000",,
23,AQR LONG-SHORT EQUITY-R6,Y,"$1,001 - $15,000",,
24,PRUDENTIAL TOTAL RETRN BND-Z,Y,"None (or less than $1,001)",,
25,VANGUARD INTM TRM INV G-ADM,Y,"None (or less than $1,001)",,
,,,,,
,Family Trust 2*,,,"Dividends, Capital Gains","$5,001 - $15,000"
1,ISHARES INC MSCI JAPAN NEW,Y,"$1,001 - $15,000",,
2,JPM US LARGE CP CORE PLUS FD - CL I FUND 1002,Y,"$15,001 - $50,000",,
3,CHILTON STRATEGIC EUROPEAN EQUITIES FD,Y,"$1,001 - $15,000",,
4,JPM SHRT-INT MUNI BND FD - CL L FUND 3602 1.48%,Y,"$15,001 - $50,000",,
5,DODGE & COX INCOME FD,Y,"$1,001 - $15,000",,
6,ISHARES RUSSELL MIDCAP INDEX FUND,Y,"$15,001 - $50,000",,
7,ARTISAN INTL VALUE FD-INS,Y,"$15,001 - $50,000",,
8,ISHARES MSCI EAFE INDEX FUND,Y,"$15,001 - $50,000",,
9,U.S. BANK CASH ACCOUNT,N/A,"$15,001 - $50,000",,
10,AMG MANAGERS PICTET INTERNATIONAL FUND CLASS I,Y,"$1,001 - $15,000",,
11,PRIMECAP ODYSSEY STOCK FD,Y,"$15,001 - $50,000",,
12,JOHN HAN II-ABS RET CURR -I,Y,"$1,001 - $15,000",,
13,JPM GLBL RES ENH INDEX FD - CL I FUND 3457,Y,"$15,001 - $50,000",,
14,EQUINOX FDS TR IPM SYSTMATC I,Y,"$1,001 - $15,000",,
15,PIMCO UNCONSTRAINED BOND-INS,Y,"$1,001 - $15,000",,
16,BLACKROCK HIGH YIELD PT-BLAC,Y,"$15,001 - $50,000",,
17,FMI LARGE CAP FUND-INST,Y,"$1,001 - $15,000",,
18,MFS EMERGING MKTS DEBT FD -I,Y,"$1,001 - $15,000",,
19,JPM MID CAP VALUE FD -L FUND 758,Y,"$15,001 - $50,000",,
20,SPDR S&P 500 ETF TRUST,Y,"$15,001 - $50,000",,
21,AQR LONG-SHORT EQUITY-R6,Y,"$1,001 - $15,000",,
22,DODGE & COX INTL STOCK FD,Y,"$1,001 - %15,000",,
23,NEUBERGER BER MU/C OPP-INS,Y,"$15,001 - $50,000",,
24,PRUDENTIAL TOTAL RETRN BND-Z,Y,"None (or less than $1,001)",,
25,VANGUARD INTM TRM INV G-ADM,Y,"None (or less than $1,001)",,
,,,,,
,,,,,
,,,,,
,Family Trust 3*,,,"Dividends, Capital Gains","$15,001 - $50,000"
1,ISHARES RUSSELL MIDCAP INDEX FUND,Y,"$15,001 - $50,000",,
2,PRIMECAP ODYSSEY STOCK FD,Y,"$15,001 - $50,000",,
3,BLACKROCK HIGH YIELD PT-BLAC,Y,"$15,001 - $50,000",,
4,JPM SHRT-INT MUNI BND FD - CL L FUND 3602 1.48%,Y,"$15,001 - $50,000",,
5,ISHARES MSCI EAFE INDEX FUND,Y,"$15,001 - $50,000",,
6,JPM US LARGE CP CORE PLUS FD - CL I FUND 1002,Y,"$15,001 - $50,000",,
7,MFS EMERGING MKTS DEBT FD-I,Y,"$1,001 - $15,000",,
8,AQR MANAGED FUTURES STR-R6,Y,"$1,001 - $15,000",,
9,DODGE & COX INTL STOCK FD,Y,"$15,001 - $50,000",,
10,SPDR S&P 500 ETF TRUST,Y,"$50,001 - $100,000",,
11,DODGE & COX INCOME FD,Y,"$1,001 - $15,000",,
12,AMG MANAGERS PICTET INTERNATIONAL FUND CLASS I,Y,"$1,001 - $15,000",,
13,ISHARES INC MSCI JAPAN NEW,Y,"$1,001 - $15,000",,
14,NEUBERGER BER MU/C OPP-INS,Y,"$15,001 - $50,000",,
15,ARTISAN INTL VALUE FD-INS,Y,"$15,001 - $50,000",,
16,PIMCO UNCONSTRAINED BOND-INS,Y,"$1,001 - $15,000",,
17,JOHN HAN II-ABS RET CURR-I ,Y,"$1,001 - $15,000",,
18,AQR LONG-SHORT EQUITY-R6,Y,"$1,001 - $15,000",,
19,JPM MID CAP VALUE FD - L FUND 758,Y,"$15,001 - $50,000",,
20,JPM GLBL RES ENH INDEX FD -CL I FUND 3457,Y,"$50,001 - $100,000",,
21,CHILTON STRATEGIC EUROPEAN EQUITIES FD,Y,"$1,001 - $15,000",,
22,U.S. BANK CASH ACCOUNT,N/A,"$15,001 - $50,000",,
23,PRUDENTIAL TOTAL RETRN BND-Z,Y,"None (or less than $1,001)",,
24,VANGUARD INTM TRM INV G-ADM,Y,"None (or less than $1,001)",,
25,FMI LARGE CAP FUND,Y,"None (or less than $1,001)",,
